ticker,first_eligible_date,last_eligible_date,eligibility_basis,source,confidence,notes
SFWL,2023-03-31,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SFWL; raw_first_quoted_date=2023-03-31
NCEW,2024-12-18,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=NCEW; raw_first_quoted_date=2024-12-18
PSIG,2024-07-19,,hard_boundary_no_spac_price_stitch,https://www.sec.gov/Archives/edgar/data/1997201/000121390024062727/ea0209494-6k_psinternational.htm,1.00,continuity_policy=SPAC_RECAPITALIZATION_NO_PRICE_STITCH; related_price_symbols=AIB; raw_norgate_first_quoted_date=2022-02-23
ELOG,2025-08-28,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ELOG; raw_first_quoted_date=2025-08-28
JYD,2023-04-21,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=JYD; raw_first_quoted_date=2023-04-21
CTNT,2023-08-01,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CTNT; raw_first_quoted_date=2023-08-01
ATXG,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ATXG; raw_first_quoted_date=2016-12-12
CIIT,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CIIT; raw_first_quoted_date=2013-10-10
HUBG,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=HUBG; raw_first_quoted_date=1996-03-13
ZTO,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ZTO; raw_first_quoted_date=2016-10-27
KEX,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=KEX; raw_first_quoted_date=1990-01-02
MATX,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=MATX; raw_first_quoted_date=1990-01-02
HAFN,2024-04-09,,separate_listing_optional_issuer_proxy,https://investor.hafnia.com/ir-news/news-details/2024/Hafnia-Limited---Commencement-of-Trading-and-Admission-to-Trading-on-NYSE-2024-KD4CwR8JZj/default.aspx,1.00,continuity_policy=CROSS_LISTING_SEPARATE_SECURITY; related_price_symbols=HAFNI.OL; raw_norgate_first_quoted_date=2020-06-18
ZIM,2021-01-28,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ZIM; raw_first_quoted_date=2021-01-28
SBLK,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SBLK; raw_first_quoted_date=2006-02-27
DAC,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=DAC; raw_first_quoted_date=2006-10-06
ECO,2023-12-11,,separate_listing_optional_issuer_proxy,https://www.okeanisecotankers.com/wp-content/uploads/2024/04/OET-Annual-Report-2023.pdf,1.00,continuity_policy=CROSS_LISTING_SEPARATE_SECURITY; related_price_symbols=OET.OL; raw_norgate_first_quoted_date=2020-03-30
CMRE,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CMRE; raw_first_quoted_date=2010-11-04
GSL,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GSL; raw_first_quoted_date=2006-09-29
CCEC,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CCEC; raw_first_quoted_date=2007-03-30
GNK,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GNK; raw_first_quoted_date=2014-07-15
SB,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SB; raw_first_quoted_date=2008-05-29
HSHP,2023-04-03,,separate_listing_optional_issuer_proxy,https://www.sec.gov/Archives/edgar/data/1959455/000114036123015778/ny20006357x18_424b4.htm,1.00,continuity_policy=CROSS_LISTING_SEPARATE_SECURITY; related_price_symbols=HSHIP.OL|HSHP.OL; raw_norgate_first_quoted_date=2022-10-25
ASC,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ASC; raw_first_quoted_date=2013-08-01
ESEA,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ESEA; raw_first_quoted_date=2006-05-05
PANL,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PANL; raw_first_quoted_date=2013-12-19
CMDB,2025-05-01,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CMDB; raw_first_quoted_date=2025-05-01
GASS,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GASS; raw_first_quoted_date=2005-10-06
SHIP,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SHIP; raw_first_quoted_date=2007-10-26
DSX,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=DSX; raw_first_quoted_date=2005-03-18
SMHI,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SMHI; raw_first_quoted_date=2017-06-02
EDRY,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=EDRY; raw_first_quoted_date=2018-05-31
HMR,2025-02-20,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=HMR; raw_first_quoted_date=2025-02-20
GLBS,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GLBS; raw_first_quoted_date=2008-03-11
NCT,2025-03-28,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=NCT; raw_first_quoted_date=2025-03-28
HTCO,2021-09-27,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=HTCO; raw_first_quoted_date=2021-09-27
USEA,2022-07-06,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=USEA; raw_first_quoted_date=2022-07-06
UFG,2025-01-14,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=UFG; raw_first_quoted_date=2025-01-14
EHLD,2025-03-11,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=EHLD; raw_first_quoted_date=2025-03-11
VNTG,2025-06-12,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=VNTG; raw_first_quoted_date=2025-06-12
PSHG,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PSHG; raw_first_quoted_date=2011-01-03
CTRM,2019-02-11,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CTRM; raw_first_quoted_date=2019-02-11
ICON,2024-07-12,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ICON; raw_first_quoted_date=2024-07-12
CISS,2023-06-14,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CISS; raw_first_quoted_date=2023-06-14
RUBI,2025-08-04,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=RUBI; raw_first_quoted_date=2025-08-04
UNP,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=UNP; raw_first_quoted_date=1990-01-02
CSX,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CSX; raw_first_quoted_date=1990-01-02
CP,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CP; raw_first_quoted_date=2001-08-21
CNI,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CNI; raw_first_quoted_date=1996-11-26
NSC,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=NSC; raw_first_quoted_date=1990-01-02
TRN,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=TRN; raw_first_quoted_date=1990-01-02
GBX,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GBX; raw_first_quoted_date=1994-07-14
FSTR,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=FSTR; raw_first_quoted_date=1990-01-02
RAIL,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=RAIL; raw_first_quoted_date=2005-04-06
SWVL,2021-03-15,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SWVL; raw_first_quoted_date=2021-03-15
RVSN,2022-03-31,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=RVSN; raw_first_quoted_date=2022-03-31
GATX,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GATX; raw_first_quoted_date=1990-01-02
ODFL,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ODFL; raw_first_quoted_date=1991-10-24
XPO,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=XPO; raw_first_quoted_date=2002-07-26
TFII,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=TFII; raw_first_quoted_date=2005-11-15
