internal_ticker,actual_ticker,norgate_symbol,source_database,company_name,norgate_security_name,first_quoted_date,last_quoted_date,eligibility_end_date,mapping_status,mapping_reason,name_similarity,exit_year,calibration_usable_flag,review_status,notes
ULH,ULH,ULH,US Equities,"Universal Logistics Holdings, Inc.",Universal Logistics Holdings Inc Common,2005-02-11,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
PAMT,PAMT,PAMT,US Equities,PAMT CORP,PAMT Corp Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
TOPP,TOPP,TOPP,US Equities,Toppoint Holdings Inc.,Toppoint Holdings Inc Common,2025-01-22,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
KNX,KNX,KNX,US Equities,Knight-Swift Transportation Holdings Inc.,Knight-Swift Transportation Holdings Inc Class A Common,2010-12-16,,,verified_exact_active,exact_active_symbol_and_name_match,0.870968,,1,auto_verified,
R,R,R,US Equities,"Ryder System, Inc.",Ryder System Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
LCC,LCC,LCC-201312,US Equities Delisted,US Airways Group,US Airways Group Inc Common,1994-08-26,2013-12-06,2013-12-06,verified_auto,symbol_name_exit_year_match,1.000000,2013,1,auto_verified,composite_match_score=1.000000
NWA,NWA,NWA-200810,US Equities Delisted,Northwest Airlines Corp,Northwest Airlines Corp Common,2007-05-18,2008-10-29,2008-10-29,verified_auto,symbol_name_exit_year_match,1.000000,2008,1,auto_verified,composite_match_score=1.000000
CAL,CAL,CAL-201009,US Equities Delisted,Continental Airlines,Continental Airlines Inc Class B Common,1993-07-14,2010-09-30,2010-09-30,verified_auto,symbol_name_exit_year_match,0.833333,2010,1,auto_verified,composite_match_score=0.891667
AAI,AAI,AAI-201105,US Equities Delisted,AirTran Holdings,AirTran Holdings Inc Common,1994-06-28,2011-05-02,2011-05-02,verified_auto,symbol_name_exit_year_match,1.000000,2011,1,auto_verified,composite_match_score=1.000000
VA,VA,VA-201612,US Equities Delisted,Virgin America,Virgin America Inc Common,2014-11-14,2016-12-13,2016-12-13,verified_auto,symbol_name_exit_year_match,1.000000,2016,1,auto_verified,composite_match_score=1.000000
HA,HA,HA-202409,US Equities Delisted,Hawaiian Holdings,Hawaiian Holdings Inc Common,1995-06-21,2024-09-17,2024-09-17,verified_auto,symbol_name_exit_year_match,1.000000,2024,1,auto_verified,composite_match_score=1.000000
SAVE,SAVE,SAVEQ-202503,US Equities Delisted,Spirit Airlines,Spirit Airlines Inc Common,2011-05-26,2025-03-12,2025-03-12,verified_auto,symbol_name_exit_year_match,1.000000,2024,1,auto_verified,composite_match_score=0.860000
AAWW,AAWW,AAWW-202303,US Equities Delisted,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings Inc Common,2004-07-21,2023-03-17,2023-03-17,verified_auto,symbol_name_exit_year_match,1.000000,2023,1,auto_verified,composite_match_score=1.000000
ATSG,ATSG,ATSG-202504,US Equities Delisted,Air Transport Services Group,Air Transport Services Group Inc Common,2003-07-23,2025-04-10,2025-04-10,verified_auto,symbol_name_exit_year_match,1.000000,2025,1,auto_verified,composite_match_score=1.000000
AYR,AYR,AYR-202003,US Equities Delisted,Aircastle,Aircastle Ltd Common,2006-08-08,2020-03-27,2020-03-27,verified_auto,symbol_name_exit_year_match,1.000000,2020,1,auto_verified,composite_match_score=1.000000
FLY,FLY,FLY-202108,US Equities Delisted,Fly Leasing,FLY Leasing Ltd ADR,2007-09-27,2021-08-02,2021-08-02,verified_auto,symbol_name_exit_year_match,1.000000,2021,1,auto_verified,composite_match_score=1.000000
PNCL,PNCL,PNCLQ-201305,US Equities Delisted,Pinnacle Airlines,Pinnacle Airlines Corp Common,2003-11-25,2013-05-01,2013-05-01,verified_auto,symbol_name_exit_year_match,1.000000,2013,1,auto_verified,composite_match_score=1.000000
RJET,RJET,RJETQ-201704,US Equities Delisted,Republic Airways Holdings,Republic Airways Holdings Inc Common,2004-05-27,2017-04-28,2017-04-28,verified_auto,symbol_name_exit_year_match,1.000000,2016,1,auto_verified,composite_match_score=0.860000
GNRT,GNRT,GNRT-201806,US Equities Delisted,Gener8 Maritime,Gener8 Maritime Inc Common,2015-06-25,2018-06-11,2018-06-11,verified_auto,symbol_name_exit_year_match,1.000000,2018,1,auto_verified,composite_match_score=1.000000
NM,NM,NM-202312,US Equities Delisted,Navios Maritime Holdings,Navios Maritime Holdings Inc Common,2005-01-06,2023-12-13,2023-12-13,verified_override,reviewed_company_identity_provider_exit_date_differs_from_seed_year,1.000000,2021,1,reviewed,Provider identifies Navios Maritime Holdings and supplies the final quoted date.
NNA,NNA,NNA-202110,US Equities Delisted,Navios Maritime Acquisition,Navios Maritime Acquisition Corp Common,2008-07-07,2021-10-14,2021-10-14,verified_auto,symbol_name_exit_year_match,1.000000,2021,1,auto_verified,composite_match_score=1.000000
DRYS,DRYS,DRYS-201910,US Equities Delisted,DryShips,DryShips Inc Common,2005-02-03,2019-10-10,2019-10-10,verified_auto,symbol_name_exit_year_match,1.000000,2019,1,auto_verified,composite_match_score=1.000000
TGP,TGP,TGP-202201,US Equities Delisted,Teekay LNG Partners,Teekay LNG Partners LP Unit,2005-05-05,2022-01-12,2022-01-12,verified_auto,symbol_name_exit_year_match,0.883721,2022,1,auto_verified,composite_match_score=0.924419
GLOG,GLOG,GLOG-202106,US Equities Delisted,GasLog Ltd,GasLog Ltd Common,2012-03-30,2021-06-08,2021-06-08,verified_auto,symbol_name_exit_year_match,1.000000,2021,1,auto_verified,composite_match_score=1.000000
GLOP,GLOP,GLOP-202307,US Equities Delisted,GasLog Partners,GasLog Partners LP Unit,2014-05-07,2023-07-12,2023-07-12,verified_auto,symbol_name_exit_year_match,0.857143,2023,1,auto_verified,composite_match_score=0.907143
ATCO,ATCO,ATCO-202303,US Equities Delisted,Atlas Corp (Seaspan),Atlas Corp Common,2005-08-09,2023-03-27,2023-03-27,verified_auto,symbol_name_exit_year_match,0.555556,2023,1,auto_verified,composite_match_score=0.711111
EGLE,EGLE,EGLE-202404,US Equities Delisted,Eagle Bulk Shipping,Eagle Bulk Shipping Inc Common,2005-06-23,2024-04-08,2024-04-08,verified_auto,symbol_name_exit_year_match,1.000000,2024,1,auto_verified,composite_match_score=1.000000
OSG,OSG,OSG-202407,US Equities Delisted,Overseas Shipholding Group,Overseas Shipholding Group Inc Class A Common,2015-12-01,2024-07-09,2024-07-09,verified_auto,symbol_name_exit_year_match,0.833333,2024,1,auto_verified,composite_match_score=0.891667
