ticker,investability_status,company_name,cik,exchange,sector,industry,subsector,country,currency,security_type,listing_status,is_primary_listing,calibration_cohort
PAL,investable,"Proficient Auto Logistics, Inc.",1998768,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
CRGO,investable,Freightos Limited,1927719,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
SFWL,investable,Shengfeng Development Limited,1863218,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
NCEW,investable,New Century Logistics (BVI) Limited,1968043,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
PSIG,investable,PS International Group Ltd.,1997201,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
ELOG,investable,Eastern International Ltd.,2013320,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
JYD,investable,Jayud Global Logistics Limited,1938186,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
CTNT,investable,Cheetah Net Supply Chain Service Inc.,1951667,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
ATXG,investable,Addentax Group Corp.,1650101,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
CIIT,investable,"Tianci International, Inc.",1557798,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
HUBG,investable,"Hub Group, Inc.",940942,Nasdaq,Industrials,Integrated Freight & Logistics,Transportation,United States,USD,Common Stock,active,TRUE,surface_freight_and_logistics
ZTO,investable,ZTO Express (Cayman) Inc.,1677250,NYSE,Industrials,Integrated Freight & Logistics,Transportation,China,USD,Ordinary Shares,active,TRUE,surface_freight_and_logistics
KEX,investable,Kirby Corporation,56047,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
MATX,investable,"Matson, Inc.",3453,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
HAFN,investable,Hafnia Limited,1815779,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
ZIM,investable,ZIM Integrated Shipping Services Ltd.,1654126,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Ordinary Shares,active,TRUE,marine_shipping_and_maritime
SBLK,investable,Star Bulk Carriers Corp.,1386716,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
DAC,investable,Danaos Corporation,1369241,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
ECO,investable,Okeanis Eco Tankers Corp.,1964954,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
CMRE,investable,Costamare Inc.,1503584,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
GSL,investable,"Global Ship Lease, Inc.",1430725,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
CCEC,investable,Capital Clean Energy Carriers Corp.,1392326,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
GNK,investable,Genco Shipping & Trading Limited,1326200,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Ordinary Shares,active,TRUE,marine_shipping_and_maritime
SB,investable,"Safe Bulkers, Inc.",1434754,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
HSHP,investable,Himalaya Shipping Ltd.,1959455,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
ASC,investable,Ardmore Shipping Corporation,1577437,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
ESEA,investable,Euroseas Ltd.,1341170,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
PANL,investable,Pangaea Logistics Solutions Ltd.,1606909,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
CMDB,investable,Costamare Bulkers Holdings Limited,2033535,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
GASS,investable,StealthGas Inc.,1328919,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
SHIP,investable,Seanergy Maritime Holdings Corp,1448397,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
DSX,investable,Diana Shipping Inc.,1318885,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
SMHI,investable,SEACOR Marine Holdings Inc.,1690334,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,marine_shipping_and_maritime
EDRY,investable,EuroDry Ltd.,1731388,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
HMR,investable,Heidmar Maritime Holdings Corp.,2029471,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
GLBS,investable,Globus Maritime Limited,1499780,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
NCT,investable,Intercont (Cayman) Limited,2018529,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
HTCO,investable,High-Trend International Group,1928948,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
USEA,investable,United Maritime Corporation,1912847,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
UFG,investable,Uni-Fuels Holdings Limited,2021688,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
EHLD,investable,Euroholdings Ltd.,2032779,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
VNTG,investable,Vantage Corp,2027160,NYSE,Industrials,Marine Shipping,Transportation,United States,USD,Ordinary Shares,active,TRUE,development_stage_and_speculative_transport
PSHG,investable,Performance Shipping Inc.,1481241,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
CTRM,investable,Castor Maritime Inc.,1720161,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
ICON,investable,Icon Energy Corp.,1995574,Nasdaq,Industrials,Marine Shipping,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
