internal_ticker,exchange_ticker,price_source_symbol,company_name,cik,exchange,country,currency,security_type,calibration_cohort_id,calibration_cohort,start_date,end_date,eligibility_basis,membership_status,successor_ticker,event_type,confidence,source_url,notes
LTM,LTM,LTM,LATAM Airlines Group S.A.,0001047716,NYSE,Chile,USD,Ordinary Shares,air_transport_and_aviation_services,Air Transport & Aviation Services,2024-07-25,,separate_regime_no_return_stitch,active,,structural_break_no_stitch,1.00,https://www.sec.gov/Archives/edgar/data/1047716/000104771626000046/ltm-20251231.htm,separate_regime_no_return_stitch; The prior ADS was delisted during Chapter 11; the 2024 NYSE re-IPO starts a new U.S. security regime. Local and OTC histories remain separate research series.
AER,AER,AER,AerCap Holdings N.V.,0001378789,NYSE,Ireland,USD,Ordinary Shares,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
FTAI,FTAI,FTAI,FTAI Aviation Ltd.,0001590364,Nasdaq,United States,USD,Ordinary Shares,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
WLFC,WLFC,WLFC,Willis Lease Finance Corporation,0001018164,Nasdaq,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
UPS,UPS,UPS,"United Parcel Service, Inc.",0001090727,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
FDX,FDX,FDX,FedEx Corporation,0001048911,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
JBHT,JBHT,JBHT,"J.B. Hunt Transport Services, Inc.",0000728535,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CHRW,CHRW,CHRW,"C.H. Robinson Worldwide, Inc.",0001043277,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
EXPD,EXPD,EXPD,"Expeditors International of Washington, Inc.",0000746515,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
FDXF,FDXF,FDXF,"FedEx Freight Holding Company, Inc.",0002082247,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2026-05-27,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
LSTR,LSTR,LSTR,"Landstar System, Inc.",0000853816,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
GXO,GXO,GXO,"GXO Logistics, Inc.",0001852244,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2021-07-22,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
PBI,PBI,PBI,Pitney Bowes Inc.,0000078814,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CYRX,CYRX,CYRX,"Cryoport, Inc.",0001124524,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
FWRD,FWRD,FWRD,Forward Air Corporation,0000912728,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
RLGT,RLGT,RLGT,"Radiant Logistics, Inc.",0001171155,NYSE,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
PAL,PAL,PAL,"Proficient Auto Logistics, Inc.",0001998768,Nasdaq,United States,USD,Common Stock,surface_freight_and_logistics,Surface Freight & Logistics,2024-05-09,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CRGO,CRGO,CRGO,Freightos Limited,0001927719,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2021-11-17,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
SFWL,SFWL,SFWL,Shengfeng Development Limited,0001863218,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2023-03-31,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
NCEW,NCEW,NCEW,New Century Logistics (BVI) Limited,0001968043,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2024-12-18,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
PSIG,PSIG,PSIG,PS International Group Ltd.,0001997201,Nasdaq,United States,USD,Ordinary Shares,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2024-07-19,,hard_boundary_no_spac_price_stitch,active,,spac_recapitalization_no_price_stitch,1.00,https://www.sec.gov/Archives/edgar/data/1997201/000121390024062727/ea0209494-6k_psinternational.htm,hard_boundary_no_spac_price_stitch; PSIG is the post-business-combination public security. Do not use AIB SPAC prices as operating-company history; predecessor operating financials may be bridged separately with explicit recapitalization provenance.
