ticker,calibration_company_ticker,company_name,cik,cusip,share_class_figi,norgate_symbol,cohort,price_start_date,price_end_date,terminal_date,recovery_type,equity_recovery,terminal_recovery_effective,terminal_treatment_status,terminal_consideration,drop_otc_tape,verification_status,source_candidate_row_status
GENZ,GENZ-201104,Genzyme Corp.,0000732485,372917104,BBG000C12C07,GENZ-201104,commercial_profitable_quality_or_mature,1990-01-02,2011-04-08,2011-04-08,cash_cvr,74.000000,74.000000,explicit_equity_recovery,$74.00 cash + 1 non-tradeable CVR per GENZ share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
GRTS,GRTSQ-202504,Gritstone bio Inc.,0001656634,39868T105,BBG00L2B70W1,GRTSQ-202504,platform_partnered_modality_pipeline,2018-09-28,2025-04-03,2025-04-04,wipeout,0.00,0.000000,explicit_equity_recovery,Verified hard-zero terminal recovery; common equity wipeout,true,norgate_price_identity_mapped_pending_final_review,strict_usable
HGEN,HGENQ-202407,Humanigen Inc.,0001351197,444863203,BBG000C6M6X9,HGENQ-202407,early_clinical_speculative_or_single_asset_pipeline,2013-01-31,2024-07-12,2024-01-03,wipeout,0.00,0.000000,explicit_equity_recovery,Verified hard-zero terminal recovery; common equity wipeout,true,norgate_price_identity_mapped_pending_final_review,strict_usable
HGSI,HGSI-201208,Human Genome Sciences Inc.,0000901219,444903108,BBG000BGC0C3,HGSI-201208,commercial_turnaround_or_unprofitable_growth,1993-12-02,2012-08-02,2012-08-02,,,14.250000,parsed_cash_only_consideration,$14.25 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
IMCL,IMCL-200811,ImClone Systems Inc.,0000765258,45245W109,BBG000BLM8W3,IMCL-200811,commercial_profitable_quality_or_mature,1991-11-19,2008-11-24,2008-11-24,,,70.000000,parsed_cash_only_consideration,$70.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
IMMU,IMMU-202010,Immunomedics Inc.,0000722830,452907108,BBG000BCTM58,IMMU-202010,platform_partnered_modality_pipeline,1990-01-02,2020-10-22,2020-10-22,,,88.000000,parsed_cash_only_consideration,$88.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
INHX,INHX-201202,Inhibitex Inc.,0001274913,45719T103,BBG000C1FMT9,INHX-201202,early_clinical_speculative_or_single_asset_pipeline,2004-06-04,2012-02-13,2012-02-13,,,26.000000,parsed_cash_only_consideration,$26.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
INSY,INSYQ-202002,INSYS Therapeutics Inc.,0001516479,45824V209,BBG003S8F9B6,INSYQ-202002,commercial_turnaround_or_unprofitable_growth,1996-01-25,2020-02-18,2020-01-23,wipeout,0.00,0.000000,explicit_equity_recovery,Verified hard-zero terminal recovery; common equity wipeout,true,norgate_price_identity_mapped_pending_final_review,strict_usable
JUNO,JUNO-201803,Juno Therapeutics Inc.,0001594864,48205A109,BBG007P1P7F4,JUNO-201803,platform_partnered_modality_pipeline,2014-12-19,2018-03-05,2018-03-05,,,87.000000,parsed_cash_only_consideration,$87.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
KERX,KERX-201812,Keryx Biopharmaceuticals Inc.,0001114220,492515101,BBG000BF7237,KERX-201812,commercial_turnaround_or_unprofitable_growth,2000-07-28,2018-12-12,2018-12-12,stock,3.576000,3.576000,explicit_equity_recovery,0.4000 AKBA shares per KERX share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
