ticker,investability_status,company_name,cik,exchange,sector,industry,subsector,country,currency,security_type,listing_status,is_primary_listing
GO,investable,Grocery Outlet Holding Corp.,1771515,Nasdaq,Consumer Defensive,Discount Stores,Consumer Defensive,United States,USD,Common Stock,active,TRUE
IMKTA,investable,"Ingles Markets, Incorporated",50493,Nasdaq,Consumer Defensive,Discount Stores,Consumer Defensive,United States,USD,Common Stock,active,TRUE
PFGC,investable,Performance Food Group Company,1618673,NYSE,Consumer Defensive,Discount Stores,Consumer Defensive,United States,USD,Common Stock,active,TRUE
SFM,investable,"Sprouts Farmers Market, Inc.",1575515,Nasdaq,Consumer Defensive,Discount Stores,Consumer Defensive,United States,USD,Common Stock,active,TRUE
UNFI,investable,"United Natural Foods, Inc.",1020859,NYSE,Consumer Defensive,Discount Stores,Consumer Defensive,United States,USD,Common Stock,active,TRUE
USFD,investable,US Foods Holding Corp.,1665918,NYSE,Consumer Defensive,Discount Stores,Consumer Defensive,United States,USD,Common Stock,active,TRUE
WMK,investable,"Weis Markets, Inc.",105418,NYSE,Consumer Defensive,Discount Stores,Consumer Defensive,United States,USD,Common Stock,active,TRUE
PG,investable,The Procter & Gamble Company,80424,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
CL,investable,Colgate-Palmolive Company,21665,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
KVUE,investable,Kenvue Inc.,1944048,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
KMB,investable,Kimberly-Clark Corporation,55785,Nasdaq,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
EL,investable,The Estée Lauder Companies Inc.,1001250,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
CHD,investable,"Church & Dwight Co., Inc.",313927,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
CLX,investable,The Clorox Company,21076,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
ELF,investable,"e.l.f. Beauty, Inc.",1600033,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
IPAR,investable,"Interparfums, Inc.",822663,Nasdaq,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
COTY,investable,Coty Inc.,1024305,NYSE,Consumer Defensive,Household & Personal Products,Consumer Defensive,United States,USD,Common Stock,active,TRUE
