scope_version,registry_version,policy_version,input_contract_hash,ticker,universe_role,calibration_cohort,industry,primary_archetype,applicability_tags,development_overlay,metric_id,metric_pack,source_lane,applicability_status,applicability_reason,unit_contract,period_type,max_staleness_days,scoring_posture,comparison_population,bounds_policy,discovery_status
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,service_reliability_rate,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_definition_and_archetype,ratio_0_1,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,rail_network_velocity,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,distance_per_time,fiscal_period,550,positive,matching_unit_and_rail_network,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,terminal_dwell_time,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,hours,fiscal_period,550,negative,matching_rail_network,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,freight_weight_per_shipment,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,weight_per_shipment,fiscal_period,550,context,matching_unit_and_archetype,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,average_length_of_haul,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,distance,fiscal_period,550,context,matching_mode_and_unit,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,driver_turnover_rate,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,negative,matching_driver_population,ratio_0_5,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,surface_lease_yield,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_asset_class,ratio_0_2,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,surface_asset_age,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,years,point_in_time,550,negative,matching_asset_class,years_0_100,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,rail_fuel_efficiency,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,fuel_per_gross_ton_mile,fiscal_period,550,negative,matching_unit_and_rail_network,nonnegative,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,insurance_claims_cost_ratio,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,negative,matching_claims_definition,ratio_0_3,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,logistics_net_revenue_margin,surface,DP,NOT_APPLICABLE,no_applicable_archetype_tag,ratio,fiscal_period,550,positive,matching_net_revenue_definition,ratio_0_1,not_applicable
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,traffic_growth,air,DP,APPLICABLE,tag_match:passenger_airline,ratio,fiscal_period,550,positive,matching_traffic_unit_and_airline_type,growth_ratio,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,capacity_growth,air,DP,APPLICABLE,tag_match:passenger_airline,ratio,fiscal_period,550,context,matching_capacity_unit_and_airline_type,growth_ratio,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,passenger_load_factor,air,DP,APPLICABLE,tag_match:passenger_airline,ratio,fiscal_period,550,positive,passenger_airline,ratio_0_1,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,passenger_yield,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_passenger_distance,fiscal_period,550,positive,matching_currency_and_distance_unit,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,passenger_revenue_per_capacity_unit,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_capacity_unit,fiscal_period,550,positive,matching_currency_and_capacity_unit,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,total_revenue_per_capacity_unit,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_capacity_unit,fiscal_period,550,positive,matching_currency_and_capacity_unit,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,unit_cost,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_capacity_unit,fiscal_period,550,negative,matching_currency_and_capacity_unit,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,unit_cost_ex_fuel,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_capacity_unit,fiscal_period,550,negative,matching_adjustment_and_capacity_unit,nonnegative,coverage_pending
transportation_dedicated_parser_scope_v1,transportation_metrics_v3_discovery,transportation_operating_archetypes_v1,804eeba846c75abc321df0821fe82a05e7bee9719cecff45798be0c82176ab7c,AAI,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,fuel_price_per_gallon,air,DP,APPLICABLE,tag_match:passenger_airline,currency_per_gallon,fiscal_period,550,negative,matching_hedging_treatment,nonnegative,coverage_pending
